compound,neg,neu,pos
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.128,0.111,0.889,0.0
0.7297,0.0,0.7,0.3
0.0,0.0,1.0,0.0
-0.128,0.111,0.889,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.128,0.111,0.889,0.0
-0.128,0.111,0.889,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.128,0.111,0.889,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.2732,0.259,0.741,0.0
0.886,0.0,0.49,0.51
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.34,0.0,0.854,0.146
0.0,0.0,1.0,0.0
0.3595,0.0,0.762,0.238
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.128,0.111,0.889,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.3818,0.178,0.822,0.0
0.2263,0.0,0.863,0.137
0.2263,0.0,0.872,0.128
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.1867,0.0,0.89,0.11
-0.3818,0.335,0.488,0.177
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.0516,0.131,0.75,0.119
-0.4588,0.333,0.667,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.5423,0.28,0.72,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.4278,0.168,0.832,0.0
-0.2732,0.104,0.896,0.0
-0.3612,0.185,0.815,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.3595,0.0,0.762,0.238
-0.1531,0.19,0.652,0.158
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.3595,0.0,0.762,0.238
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.1867,0.0,0.89,0.11
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.2263,0.0,0.872,0.128
